item_id,order_id,product_id,product_name,category,quantity,unit_price,line_total,sku
ITM4572241,ORD275284,PROD4770,more_prod4770,Toys,4,487.68,1950.72,SKU-57440
ITM5410012,ORD275284,PROD7442,probably_PROD7442,Sports,1,99.32,99.32,
ITM4260754,ORD962520,PROD4857,former_prod4857,,5,407.37,2036.85,SKU-67047
ITM7715181,ORD962520,PROD7179,SIZE_PROD7179,electronics,1,391.79,391.79,SKU-51972
ITM9682685,ORD678870,PROD1593,his_PROD1593,Sports,3,321.52,964.56,SKU-50082
ITM9832244,ORD678870,PROD8289,DARK_PROD8289,Sports,3,73.37,220.11,SKU-83892
ITM5045551,ORD217984,PROD8375,THAN_PROD8375,,5,86.53,432.65,SKU-12886
ITM5885856,ORD923914,PROD5821,positive_PROD5821,electronics,2,39.73,79.46,SKU-46002
ITM6428134,ORD923914,PROD6412,form_PROD6412,Toys,4,300.3,1201.2,SKU-62569
ITM7498849,ORD923914,PROD8948,PHONE_PROD8948,Clothing,2,33.41,66.82,SKU-55673
ITM8495143,ORD139285,PROD9632,SUGGEST_PROD9632,Books,2,41.48,82.96,SKU-16895
ITM5778457,ORD139285,PROD2622,stay_prod2622,Toys,2,230.44,460.88,SKU-86023
ITM4384417,ORD139285,PROD3107,paper_prod3107,Clothing,2,302.73,605.46,SKU-87247
ITM8074551,ORD139285,PROD8727,father_PROD8727,ELECTRONICS,3,228.52,685.56,
ITM6129446,ORD139285,PROD6480,CERTAINLY_PROD6480,,3,461.68,1385.04,SKU-46415
ITM6001939,ORD824056,PROD4332,candidate_prod4332,,5,266.52,1332.6,SKU-84897
ITM5677995,ORD824056,PROD2983,teacher_prod2983,,2,196.51,393.02,SKU-76349
ITM7557342,ORD824056,PROD1133,fire_PROD1133,,5,261.52,1307.6,SKU-48930
ITM3050208,ORD824056,PROD9834,AWAY_PROD9834,,2,23.89,47.78,SKU-16938
ITM5721977,ORD393964,PROD5768,stand_PROD5768,Toys,3,97.2,291.6,SKU-49342
ITM5575052,ORD382507,PROD6629,idea_PROD6629,,2,208.92,417.84,SKU-70301
ITM3736522,ORD382507,PROD8786,its_PROD8786,,3,230.91,692.73,SKU-26240
ITM5237096,ORD382507,PROD7255,AMOUNT_PROD7255,Electronics,1,275.34,275.34,SKU-64251
ITM9777745,ORD896386,PROD2886,AREA_PROD2886,Toys,1,325.13,325.13,SKU-10055
ITM8880122,ORD918430,PROD6869,PLACE_PROD6869,,1,289.98,289.98,SKU-88725
ITM3908207,ORD918430,PROD6280,RECOGNIZE_PROD6280,Toys,4,228.67,914.68,SKU-49908
ITM7617162,ORD134677,PROD5011,conference_prod5011,electronics,1,242.2,242.2,SKU-33762
ITM7817110,ORD134677,PROD7658,three_prod7658,electronics,4,426.17,1704.68,SKU-40465
ITM4799416,ORD766275,PROD7427,want_PROD7427,Clothing,2,64.09,128.18,SKU-63749
ITM3178113,ORD766275,PROD5965,PROGRAM_PROD5965,Home & Garden,5,155.06,775.3,SKU-58007
ITM5644020,ORD766275,PROD8970,civil_prod8970,Home & Garden,4,159.84,639.36,SKU-42564
ITM5306835,ORD766275,PROD6512,special_prod6512,Sports,3,58.92,176.76,SKU-80893
ITM1526876,ORD460971,PROD2249,all_prod2249,,2,309.79,619.58,SKU-11199
ITM1395398,ORD270820,PROD3668,worry_prod3668,Electronics,1,429.95,429.95,SKU-56516
ITM7700599,ORD270820,PROD9595,listen_PROD9595,electronics,4,301.34,1205.36,SKU-38636
ITM4156527,ORD270820,PROD2465,recently_prod2465,electronics,3,153.73,461.19,SKU-93527
ITM8653296,ORD270820,PROD6358,energy_PROD6358,Toys,5,349.12,1745.6,SKU-64688
ITM2563565,ORD783238,PROD3859,TECHNOLOGY_PROD3859,Clothing,4,459.01,1836.04,SKU-39648
ITM5010140,ORD783238,PROD6385,gun_PROD6385,Electronics,4,309.7,1238.8,SKU-45094
ITM5303316,ORD730343,PROD6250,student_prod6250,ELECTRONICS,4,192.21,768.84,SKU-57710
ITM1890021,ORD730343,PROD7789,NETWORK_PROD7789,Home & Garden,3,110.83,332.49,SKU-95275
ITM9167778,ORD494763,PROD5025,cover_PROD5025,Clothing,2,187.46,374.92,SKU-66102
ITM7198425,ORD712879,PROD6931,ISSUE_PROD6931,Electronics,3,36.46,109.38,SKU-80994
ITM5705112,ORD712879,PROD7739,per_prod7739,Electronics,4,220.62,882.48,SKU-88904
ITM9606924,ORD712879,PROD3832,police_prod3832,Clothing,5,61.69,308.45,SKU-37789
ITM6698389,ORD712879,PROD5295,bar_prod5295,ELECTRONICS,2,358.97,717.94,SKU-79854
ITM8094015,ORD712879,PROD1038,own_PROD1038,,4,258.04,1032.16,SKU-69587
ITM6588365,ORD412974,PROD2195,option_PROD2195,Toys,2,132.37,264.74,SKU-91059
ITM2479916,ORD412974,PROD9240,REACH_PROD9240,ELECTRONICS,3,350.91,1052.73,SKU-16788
ITM6801015,ORD412974,PROD6165,opportunity_PROD6165,Electronics,3,178.9,536.7,SKU-13025
ITM8226904,ORD787991,PROD2780,realize_prod2780,,1,392.22,392.22,SKU-93778
ITM8375752,ORD787991,PROD3548,change_PROD3548,Books,3,5.52,16.56,SKU-59621
ITM6190464,ORD792616,PROD4733,keep_PROD4733,,5,139.38,696.9,
ITM6375706,ORD792616,PROD5164,MILLION_PROD5164,Clothing,1,494.96,494.96,SKU-56520
ITM1802474,ORD792616,PROD8736,much_prod8736,Clothing,5,12.47,62.35,SKU-14973
ITM5024758,ORD507135,PROD5449,it_PROD5449,Sports,2,374.27,748.54,SKU-53361
ITM7112026,ORD507135,PROD7024,lose_prod7024,ELECTRONICS,3,363.79,1091.37,SKU-49522
ITM9352129,ORD507135,PROD7086,matter_prod7086,,4,367.95,1471.8,SKU-40072
ITM5075991,ORD804505,PROD5739,instead_prod5739,electronics,2,291.28,582.56,SKU-76136
ITM9530594,ORD593649,PROD6791,next_PROD6791,,4,267.72,1070.88,SKU-11982
ITM6706026,ORD593649,PROD8901,key_PROD8901,,2,416.03,832.06,SKU-36027
ITM1203291,ORD593649,PROD2166,worry_prod2166,,5,218.92,1094.6,SKU-99183
ITM9768275,ORD333049,PROD5790,DAUGHTER_PROD5790,Electronics,4,319.34,1277.36,SKU-48316
ITM6728958,ORD333049,PROD7873,bill_prod7873,Toys,2,341.06,682.12,
ITM4509774,ORD333049,PROD3564,BOX_PROD3564,,4,269.47,1077.88,SKU-78210
ITM8583281,ORD333049,PROD6377,political_PROD6377,ELECTRONICS,1,278.32,278.32,
ITM6727764,ORD992562,PROD3078,SEASON_PROD3078,Electronics,1,397.61,397.61,SKU-47687
ITM4492297,ORD624788,PROD1341,what_prod1341,Toys,4,460.2,1840.8,SKU-34922
ITM3814324,ORD310026,PROD1678,heart_prod1678,Electronics,2,398.24,796.48,SKU-40870
ITM2698554,ORD611265,PROD8926,DOOR_PROD8926,Electronics,1,328.1,328.1,SKU-33707
ITM1971812,ORD611265,PROD4208,AHEAD_PROD4208,electronics,4,94.0,376.0,SKU-91052
ITM5239177,ORD611265,PROD3053,ball_prod3053,Sports,4,321.12,1284.48,SKU-45990
ITM9110374,ORD611265,PROD2085,without_prod2085,ELECTRONICS,1,288.7,288.7,SKU-65089
ITM7151685,ORD611265,PROD3214,THEORY_PROD3214,Clothing,1,57.67,57.67,
ITM1086666,ORD704272,PROD2232,later_PROD2232,ELECTRONICS,4,433.57,1734.28,SKU-30753
ITM1784349,ORD704272,PROD1973,method_prod1973,Sports,4,404.63,1618.52,SKU-45100
ITM4536556,ORD704272,PROD1617,adult_PROD1617,,5,402.41,2012.05,SKU-40820
ITM2617703,ORD522988,PROD7517,wall_prod7517,Sports,4,69.7,278.8,SKU-43047
ITM5710580,ORD522988,PROD8769,class_prod8769,Electronics,1,28.88,28.88,SKU-94396
ITM4974479,ORD522988,PROD9051,computer_PROD9051,electronics,4,443.35,1773.4,SKU-81222
ITM2977669,ORD893612,PROD1644,quite_PROD1644,,1,404.13,404.13,SKU-71724
ITM9943323,ORD893612,PROD1761,COMPARE_PROD1761,Books,1,230.77,230.77,SKU-45576
ITM8800576,ORD893612,PROD8021,edge_prod8021,Toys,3,188.33,564.99,SKU-39527
ITM4773511,ORD235193,PROD7528,PARTY_PROD7528,Home & Garden,4,163.5,654.0,SKU-89063
ITM2394478,ORD863187,PROD1339,PROVIDE_PROD1339,Clothing,5,359.48,1797.4,SKU-73318
ITM9879403,ORD886553,PROD5626,shake_PROD5626,Clothing,5,204.1,1020.5,SKU-80522
ITM1074808,ORD886553,PROD5735,that_PROD5735,Electronics,3,100.83,302.49,SKU-81377
ITM3920867,ORD886553,PROD1426,PM_PROD1426,Sports,4,6.06,24.24,SKU-71421
ITM6863870,ORD869735,PROD6530,SERIOUS_PROD6530,,3,105.15,315.45,SKU-48091
ITM2499215,ORD908713,PROD7953,well_PROD7953,Toys,2,174.04,348.08,SKU-28489
ITM4394402,ORD823255,PROD1863,glass_PROD1863,electronics,2,177.73,355.46,SKU-32974
ITM7514421,ORD823255,PROD4688,behavior_PROD4688,Home & Garden,2,274.32,548.64,SKU-93527
ITM1218299,ORD415743,PROD9769,catch_PROD9769,electronics,5,440.87,2204.35,SKU-58147
ITM9424134,ORD636435,PROD1339,whether_PROD1339,Sports,3,440.47,1321.41,SKU-99314
ITM8791765,ORD636435,PROD8925,then_PROD8925,Sports,2,71.1,142.2,SKU-10103
ITM9905370,ORD971889,PROD2552,be_PROD2552,Books,4,450.65,1802.6,SKU-53755
ITM3554182,ORD971889,PROD7852,pay_PROD7852,electronics,4,328.46,1313.84,
ITM1110229,ORD971889,PROD7470,amount_prod7470,Sports,5,324.17,1620.85,SKU-50257
ITM2691979,ORD971889,PROD5764,CHALLENGE_PROD5764,Home & Garden,4,178.21,712.84,SKU-84615
ITM6631831,ORD821634,PROD4136,activity_PROD4136,Books,4,96.94,387.76,SKU-59785
ITM9242860,ORD256389,PROD8903,movie_PROD8903,Sports,2,288.41,576.82,SKU-60560
ITM1570536,ORD256389,PROD4679,CUP_PROD4679,Toys,2,327.15,654.3,SKU-13949
ITM2675184,ORD256389,PROD5342,CATCH_PROD5342,Electronics,1,179.7,179.7,SKU-94684
ITM2286412,ORD376955,PROD6753,INCREASE_PROD6753,Clothing,1,473.26,473.26,SKU-17596
ITM6149879,ORD376955,PROD8989,paper_prod8989,electronics,4,360.28,1441.12,SKU-57369
ITM6780919,ORD376955,PROD4767,might_prod4767,electronics,2,255.04,510.08,SKU-99571
ITM1290389,ORD376955,PROD8117,organization_PROD8117,Books,2,383.15,766.3,SKU-63559
ITM7670709,ORD376955,PROD1877,COMPUTER_PROD1877,Electronics,2,465.41,930.82,SKU-20990
ITM9757292,ORD546688,PROD4530,FAMILY_PROD4530,Clothing,3,140.69,422.07,SKU-52170
ITM8300078,ORD546688,PROD9641,street_prod9641,Toys,1,466.75,466.75,SKU-42614
ITM5771012,ORD546688,PROD8982,mother_PROD8982,Sports,2,352.13,704.26,SKU-28906
ITM2582733,ORD546688,PROD9794,SOMEBODY_PROD9794,Sports,4,124.5,498.0,SKU-49507
ITM3189140,ORD444625,PROD4293,us_prod4293,,2,121.95,243.9,SKU-89172
ITM3889843,ORD444625,PROD6498,MONEY_PROD6498,,1,88.55,88.55,
ITM6237330,ORD444625,PROD6708,total_PROD6708,Toys,3,81.41,244.23,SKU-36965
ITM4745428,ORD520245,PROD2672,CONDITION_PROD2672,,2,52.61,105.22,SKU-61557
ITM7751605,ORD218548,PROD4652,CURRENT_PROD4652,Toys,3,399.74,1199.22,SKU-43070
ITM5382797,ORD290065,PROD8661,dream_PROD8661,Home & Garden,4,95.14,380.56,SKU-90066
ITM7729582,ORD290065,PROD9454,SEVEN_PROD9454,ELECTRONICS,3,61.84,185.52,SKU-58589
ITM2210480,ORD611833,PROD8559,evidence_PROD8559,,1,345.4,345.4,SKU-44150
ITM8621520,ORD802382,PROD1477,itself_prod1477,Home & Garden,3,16.39,49.17,SKU-79015
ITM1730497,ORD802382,PROD8941,FEDERAL_PROD8941,Home & Garden,4,269.67,1078.68,SKU-81516
ITM5189693,ORD802382,PROD2948,MIND_PROD2948,Clothing,2,28.0,56.0,SKU-89514
ITM5800810,ORD802382,PROD9858,series_PROD9858,Home & Garden,2,437.48,874.96,SKU-47609
ITM2991403,ORD462544,PROD7338,maybe_PROD7338,Home & Garden,1,440.58,440.58,SKU-65563
ITM6919778,ORD462544,PROD6102,produce_PROD6102,,4,134.71,538.84,SKU-14273
ITM2674651,ORD462544,PROD5798,ENERGY_PROD5798,electronics,4,286.25,1145.0,SKU-85625
ITM9496733,ORD462544,PROD4855,BELIEVE_PROD4855,Electronics,3,144.46,433.38,SKU-27651
ITM8695467,ORD630126,PROD8779,house_prod8779,electronics,1,224.01,224.01,SKU-60485
ITM9420514,ORD630126,PROD6539,ENERGY_PROD6539,electronics,2,302.78,605.56,SKU-46934
ITM5553521,ORD391668,PROD8986,WALK_PROD8986,Electronics,5,129.94,649.7,SKU-13774
ITM3683920,ORD391668,PROD3729,her_prod3729,electronics,5,431.8,2159.0,SKU-60995
ITM6465897,ORD940183,PROD5840,agent_prod5840,Sports,1,284.7,284.7,SKU-26613
ITM7978758,ORD940183,PROD6226,free_PROD6226,ELECTRONICS,5,69.1,345.5,SKU-60440
ITM6372848,ORD940183,PROD7877,view_PROD7877,,2,26.66,53.32,
ITM1431586,ORD207629,PROD2968,it_PROD2968,Clothing,5,258.17,1290.85,
ITM6573051,ORD207629,PROD4196,ten_prod4196,,4,275.35,1101.4,SKU-92526
ITM3688593,ORD633030,PROD3532,order_PROD3532,Toys,1,499.29,499.29,SKU-81092
ITM2048931,ORD448098,PROD7948,appear_PROD7948,,5,470.07,2350.35,SKU-94874
ITM7569752,ORD448098,PROD3741,SIMPLY_PROD3741,electronics,1,39.2,39.2,SKU-83571
ITM1998397,ORD448098,PROD8296,that_PROD8296,Toys,1,341.09,341.09,SKU-91218
ITM3796145,ORD448098,PROD6050,range_prod6050,,2,207.41,414.82,SKU-41157
ITM6139723,ORD896204,PROD3744,SPEECH_PROD3744,,4,293.4,1173.6,SKU-95853
ITM5518616,ORD836201,PROD6305,design_PROD6305,Clothing,3,31.24,93.72,SKU-57114
ITM7094200,ORD836201,PROD9592,there_PROD9592,,5,423.39,2116.95,SKU-44412
ITM7710925,ORD836201,PROD4531,line_prod4531,electronics,5,53.24,266.2,SKU-13505
ITM6874454,ORD836201,PROD6262,PARTICULAR_PROD6262,ELECTRONICS,5,107.94,539.7,SKU-21310
ITM5561286,ORD296653,PROD1935,UNDERSTAND_PROD1935,Books,5,217.16,1085.8,SKU-30555
ITM1707129,ORD296653,PROD4065,FUND_PROD4065,electronics,4,458.64,1834.56,SKU-44505
ITM2356894,ORD296653,PROD2163,skin_prod2163,ELECTRONICS,5,479.41,2397.05,SKU-54195
ITM9658470,ORD296653,PROD5929,democratic_prod5929,Electronics,5,138.87,694.35,SKU-85539
ITM3924441,ORD296653,PROD7895,rule_prod7895,Books,2,391.03,782.06,SKU-12899
ITM9275354,ORD764000,PROD4037,VALUE_PROD4037,Electronics,1,280.94,280.94,SKU-12708
ITM2347773,ORD623059,PROD9154,PAPER_PROD9154,Books,3,482.39,1447.17,SKU-99864
ITM3463891,ORD623059,PROD3111,STREET_PROD3111,Books,3,410.54,1231.62,SKU-65268
ITM9392268,ORD623059,PROD1401,FIVE_PROD1401,Electronics,5,409.89,2049.45,
ITM6695201,ORD623059,PROD2822,market_PROD2822,Home & Garden,2,193.19,386.38,SKU-48456
ITM5788942,ORD623059,PROD8921,something_prod8921,electronics,-1,486.68,-486.68,SKU-15214
ITM7595903,ORD825423,PROD8347,account_prod8347,Electronics,2,138.31,276.62,SKU-57125
ITM8936261,ORD539001,PROD8939,author_prod8939,Home & Garden,2,268.67,537.34,SKU-41826
ITM1912015,ORD539001,PROD9706,ACTION_PROD9706,,2,70.36,140.72,
ITM2585286,ORD539001,PROD1930,think_PROD1930,Home & Garden,1,415.61,415.61,SKU-50290
ITM2350595,ORD943890,PROD9272,blood_PROD9272,Electronics,1,445.24,445.24,SKU-30563
ITM4267459,ORD943890,PROD1252,break_prod1252,Toys,3,284.02,852.06,SKU-66717
ITM4141275,ORD310647,PROD9212,with_prod9212,Books,4,478.99,1915.96,SKU-53497
ITM9538313,ORD310647,PROD7776,UNIT_PROD7776,Books,5,195.17,975.85,
ITM8150427,ORD310647,PROD7299,PRESSURE_PROD7299,ELECTRONICS,3,252.98,758.94,SKU-50616
ITM9558900,ORD310647,PROD8749,seven_PROD8749,Books,1,30.38,30.38,SKU-63111
ITM5446285,ORD844858,PROD6579,SUDDENLY_PROD6579,Books,2,225.14,450.28,SKU-44800
ITM9534966,ORD988459,PROD5688,put_PROD5688,Home & Garden,3,146.89,440.67,SKU-53114
ITM7469913,ORD379947,PROD4473,president_prod4473,electronics,2,216.56,433.12,SKU-78494
ITM2752346,ORD379947,PROD7453,once_prod7453,,1,324.24,324.24,SKU-83904
ITM5687704,ORD890200,PROD3679,TABLE_PROD3679,Clothing,2,469.91,939.82,SKU-94893
ITM3546111,ORD890200,PROD5731,trip_prod5731,electronics,1,309.2,309.2,SKU-10761
ITM2811009,ORD890200,PROD7183,pull_PROD7183,Sports,4,233.09,932.36,SKU-44604
ITM1042370,ORD890200,PROD9515,though_prod9515,Clothing,3,222.05,666.15,SKU-85162
ITM5551727,ORD890200,PROD8705,NOTE_PROD8705,Home & Garden,3,106.72,320.16,SKU-61175
ITM9670120,ORD878476,PROD9736,drug_PROD9736,Sports,5,255.29,1276.45,SKU-21885
ITM9832270,ORD506380,PROD8872,executive_prod8872,,4,483.95,1935.8,SKU-80735
ITM5914287,ORD506380,PROD4097,cut_prod4097,ELECTRONICS,1,210.06,210.06,SKU-68592
ITM1608687,ORD506380,PROD1453,husband_prod1453,Electronics,3,37.07,111.21,SKU-74237
ITM6019604,ORD970300,PROD2017,PROBABLY_PROD2017,Home & Garden,2,497.52,995.04,SKU-91418
ITM7163147,ORD970300,PROD9810,YOUNG_PROD9810,electronics,4,163.89,655.56,SKU-64494
ITM9654532,ORD913848,PROD2482,center_prod2482,Clothing,2,261.62,523.24,SKU-78185
ITM5056217,ORD913848,PROD6710,DIRECTION_PROD6710,Clothing,5,59.01,295.05,SKU-44296
ITM6499272,ORD913848,PROD3825,WHATEVER_PROD3825,Electronics,2,188.04,376.08,SKU-33740
ITM5848198,ORD495521,PROD6693,could_PROD6693,Sports,3,43.39,130.17,SKU-70978
ITM5529698,ORD495521,PROD4402,TEACH_PROD4402,ELECTRONICS,3,392.74,1178.22,SKU-63956
ITM4374934,ORD495521,PROD3192,religious_PROD3192,Toys,4,81.16,324.64,SKU-14364
ITM3176194,ORD588983,PROD9596,LOT_PROD9596,Toys,1,193.27,193.27,SKU-48895
ITM5593503,ORD588983,PROD4405,person_PROD4405,Sports,2,210.48,420.96,SKU-37270
ITM5121127,ORD614379,PROD7007,CLAIM_PROD7007,ELECTRONICS,4,356.62,1426.48,SKU-81733
ITM9310085,ORD614379,PROD1618,COLOR_PROD1618,electronics,2,51.85,103.7,SKU-93863
ITM4821230,ORD924451,PROD6750,SIMILAR_PROD6750,Sports,1,326.56,326.56,SKU-57953
ITM1730762,ORD924451,PROD5312,more_PROD5312,ELECTRONICS,3,88.89,266.67,SKU-42219
ITM6600260,ORD924451,PROD5707,for_PROD5707,Books,4,88.39,353.56,SKU-57211
ITM4978829,ORD924451,PROD1744,realize_PROD1744,,4,480.79,1923.16,
ITM5468477,ORD447148,PROD6989,serve_prod6989,ELECTRONICS,5,71.93,359.65,SKU-16750
ITM9499020,ORD220294,PROD9057,INVOLVE_PROD9057,Clothing,1,212.32,212.32,SKU-57970
ITM7001377,ORD220294,PROD7583,board_PROD7583,,2,297.08,594.16,SKU-82947
ITM5372731,ORD499898,PROD4438,FACE_PROD4438,Sports,5,222.19,1110.95,SKU-15549
ITM1734766,ORD499898,PROD6656,without_PROD6656,,3,479.71,1439.13,
ITM3110130,ORD499898,PROD7652,great_PROD7652,Home & Garden,-4,338.53,-1354.12,SKU-58532
ITM1440003,ORD639292,PROD2680,interview_prod2680,Sports,4,12.68,50.72,SKU-52367
ITM9654080,ORD639292,PROD1637,NAME_PROD1637,Toys,4,466.99,1867.96,SKU-27441
ITM3748191,ORD910883,PROD4308,eat_PROD4308,Electronics,2,25.85,51.7,SKU-41336
ITM2074981,ORD910883,PROD2720,moment_prod2720,electronics,1,427.03,427.03,SKU-42276
ITM7405566,ORD976258,PROD4967,different_PROD4967,Home & Garden,3,382.08,1146.24,SKU-29265
ITM1828993,ORD976258,PROD3522,moment_PROD3522,Clothing,5,71.12,355.6,SKU-63891
ITM3023572,ORD976258,PROD5416,off_prod5416,Books,1,70.14,70.14,SKU-29089
ITM5383010,ORD976258,PROD3559,interest_PROD3559,ELECTRONICS,2,16.07,32.14,SKU-17304
ITM1252931,ORD124906,PROD1446,EXPECT_PROD1446,ELECTRONICS,1,226.56,226.56,SKU-98090
ITM3703073,ORD124906,PROD5337,decision_prod5337,,2,322.14,644.28,SKU-40583
ITM6631282,ORD124906,PROD4772,property_PROD4772,Toys,2,486.72,973.44,SKU-34090
ITM5708991,ORD702891,PROD9510,tell_prod9510,Home & Garden,3,246.66,739.98,SKU-80432
ITM8622005,ORD702891,PROD8509,nearly_PROD8509,Home & Garden,5,111.69,558.45,
ITM4174571,ORD508422,PROD1004,large_PROD1004,Clothing,4,31.61,126.44,SKU-26889
ITM9139540,ORD508422,PROD4075,staff_prod4075,ELECTRONICS,1,170.51,170.51,SKU-74209
ITM4318648,ORD834928,PROD8034,MATTER_PROD8034,,2,149.28,298.56,SKU-69044
ITM8631671,ORD834928,PROD4202,sing_prod4202,Clothing,5,95.24,476.2,SKU-30473
ITM2074209,ORD834928,PROD5577,kitchen_PROD5577,ELECTRONICS,4,84.19,336.76,SKU-39240
ITM4301644,ORD834928,PROD9553,nearly_prod9553,ELECTRONICS,1,469.71,469.71,SKU-38504
ITM6668205,ORD834928,PROD1457,TRAINING_PROD1457,Home & Garden,4,342.41,1369.64,SKU-15553
ITM2608854,ORD395192,PROD5553,you_PROD5553,ELECTRONICS,3,159.19,477.57,SKU-30295
ITM5221818,ORD243006,PROD7056,MEMORY_PROD7056,,4,18.01,72.04,SKU-39713
ITM6846066,ORD243006,PROD1566,REACH_PROD1566,Clothing,3,82.35,247.05,SKU-70172
ITM5669680,ORD243006,PROD2850,MOTHER_PROD2850,Clothing,3,430.24,1290.72,SKU-78457
ITM8495721,ORD111691,PROD9330,NICE_PROD9330,,5,313.95,1569.75,
ITM5065274,ORD111691,PROD1528,REASON_PROD1528,Toys,5,137.64,688.2,SKU-55294
ITM1993142,ORD111691,PROD9335,human_PROD9335,Clothing,2,455.02,910.04,SKU-99247
ITM4205930,ORD419491,PROD1229,activity_PROD1229,,1,281.98,281.98,SKU-49780
ITM9438190,ORD419491,PROD5882,SEASON_PROD5882,Books,4,146.14,584.56,SKU-91234
ITM2643732,ORD268772,PROD5405,EVERYONE_PROD5405,Sports,5,186.53,932.65,SKU-15418
ITM7391943,ORD992744,PROD3234,CAN_PROD3234,Electronics,2,469.66,939.32,SKU-53639
ITM3184185,ORD992744,PROD7045,pretty_PROD7045,Electronics,3,56.14,168.42,SKU-58228
ITM6957364,ORD992744,PROD7725,mind_PROD7725,Sports,2,489.34,978.68,SKU-68418
ITM8061209,ORD362865,PROD9313,tonight_prod9313,Electronics,1,467.13,467.13,SKU-84504
ITM7749412,ORD362865,PROD5951,then_prod5951,ELECTRONICS,4,104.19,416.76,SKU-52586
ITM4332037,ORD362865,PROD3553,LOSS_PROD3553,Clothing,1,138.97,138.97,SKU-63474
ITM2126630,ORD362865,PROD5832,FORWARD_PROD5832,Clothing,2,34.04,68.08,SKU-55249
ITM3505796,ORD204904,PROD5366,on_PROD5366,Books,2,26.29,52.58,SKU-63904
ITM9950585,ORD204904,PROD5054,throw_prod5054,Clothing,1,447.16,447.16,SKU-20227
ITM4126184,ORD827143,PROD3679,professional_prod3679,Home & Garden,3,430.66,1291.98,SKU-46926
ITM8348880,ORD827143,PROD9995,MEETING_PROD9995,Sports,4,221.97,887.88,SKU-31407
ITM9493682,ORD827143,PROD7776,CHALLENGE_PROD7776,Electronics,2,491.42,982.84,SKU-20398
ITM1667618,ORD827143,PROD2133,property_prod2133,,1,150.69,150.69,SKU-58748
ITM7572119,ORD358133,PROD5871,put_prod5871,Home & Garden,2,370.75,741.5,SKU-95578
ITM1331305,ORD358133,PROD1418,east_PROD1418,Electronics,3,39.44,118.32,SKU-35210
ITM2197664,ORD603268,PROD5807,EVERYONE_PROD5807,,5,20.23,101.15,SKU-64296
ITM5851353,ORD603268,PROD1927,middle_prod1927,Electronics,3,41.33,123.99,SKU-45978
ITM4471949,ORD603268,PROD2229,over_PROD2229,Clothing,1,188.38,188.38,SKU-78444
ITM9616173,ORD982683,PROD8466,threat_PROD8466,Sports,5,196.58,982.9,SKU-56887
ITM2942171,ORD982683,PROD5379,course_PROD5379,Books,1,117.83,117.83,SKU-84292
ITM6891831,ORD982683,PROD2973,person_prod2973,Electronics,3,466.01,1398.03,SKU-18524
